"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 13.36.59;0,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.00;1,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.01;2,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.02;3,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.03;4,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.04;5,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.05;6,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.06;7,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.07;8,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.08;9,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.09;10,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.10;11,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.11;12,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.12;13,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.13;14,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.14;15,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.15;16,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.16;17,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.17;18,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.18;19,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.19;20,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.20;21,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.21;22,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 13.37.22;23,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.23;24,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 13.37.24;25,000;57;29;0,19;19,26;0,20;0,36
01.12.2021 13.37.25;26,000;62;29;0,21;17,12;0,18;0,32
01.12.2021 13.37.26;27,000;54;27;0,18;17,12;0,18;0,32
01.12.2021 13.37.27;28,000;53;27;0,18;17,12;0,18;0,32
01.12.2021 13.37.28;29,000;53;27;0,18;17,12;0,18;0,32
01.12.2021 13.37.29;30,000;54;27;0,18;14,98;0,16;0,28
01.12.2021 13.37.30;31,000;54;27;0,18;14,98;0,16;0,28
01.12.2021 13.37.31;32,000;55;27;0,19;14,98;0,16;0,28
01.12.2021 13.37.32;33,000;56;27;0,19;14,98;0,16;0,28
01.12.2021 13.37.33;34,000;56;28;0,19;14,98;0,16;0,28
01.12.2021 13.37.34;35,000;57;28;0,19;14,98;0,16;0,28
01.12.2021 13.37.35;36,000;58;28;0,19;14,98;0,16;0,28
01.12.2021 13.37.36;37,000;60;29;0,20;14,98;0,16;0,28
01.12.2021 13.37.37;38,000;61;29;0,20;14,98;0,16;0,28
01.12.2021 13.37.38;39,000;62;29;0,21;14,98;0,16;0,28
01.12.2021 13.37.39;40,000;63;30;0,21;14,98;0,16;0,28
01.12.2021 13.37.40;41,000;64;30;0,21;14,98;0,16;0,28
01.12.2021 13.37.41;42,000;66;30;0,22;14,98;0,16;0,28
01.12.2021 13.37.42;43,000;67;31;0,22;14,98;0,16;0,28
01.12.2021 13.37.43;44,000;67;30;0,22;14,98;0,16;0,28
01.12.2021 13.37.44;45,000;68;31;0,22;14,98;0,16;0,28
01.12.2021 13.37.45;46,000;70;31;0,23;14,98;0,16;0,28
01.12.2021 13.37.46;47,000;71;32;0,23;14,98;0,16;0,28
01.12.2021 13.37.47;48,000;72;32;0,23;14,98;0,16;0,28
01.12.2021 13.37.48;49,000;73;32;0,24;14,98;0,16;0,28
01.12.2021 13.37.49;50,000;74;32;0,24;14,98;0,16;0,28
01.12.2021 13.37.50;51,000;75;33;0,24;12,84;0,13;0,24
01.12.2021 13.37.51;52,000;76;33;0,24;12,84;0,13;0,24
01.12.2021 13.37.52;53,000;77;33;0,25;12,84;0,13;0,24
01.12.2021 13.37.53;54,000;77;34;0,25;12,84;0,13;0,24
01.12.2021 13.37.54;55,000;79;35;0,26;12,84;0,13;0,24
01.12.2021 13.37.55;56,000;79;34;0,25;12,84;0,13;0,24
01.12.2021 13.37.56;57,000;80;34;0,26;12,84;0,13;0,24
01.12.2021 13.37.57;58,000;81;35;0,26;12,84;0,13;0,24
01.12.2021 13.37.58;59,000;82;35;0,26;12,84;0,13;0,24
01.12.2021 13.37.59;60,000;82;35;0,26;12,84;0,13;0,24
01.12.2021 13.38.00;61,000;84;36;0,27;12,84;0,13;0,24
01.12.2021 13.38.01;62,000;83;35;0,26;12,84;0,13;0,24
01.12.2021 13.38.02;63,000;84;36;0,27;12,84;0,13;0,24
01.12.2021 13.38.03;64,000;85;37;0,27;14,98;0,16;0,28
01.12.2021 13.38.04;65,000;86;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.05;66,000;86;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.06;67,000;86;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.07;68,000;87;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.08;69,000;87;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.09;70,000;88;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.10;71,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 13.38.11;72,000;88;37;0,28;14,98;0,16;0,28
01.12.2021 13.38.12;73,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 13.38.13;74,000;89;38;0,28;12,84;0,13;0,24
01.12.2021 13.38.14;75,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 13.38.15;76,000;90;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.16;77,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.17;78,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 13.38.18;79,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.19;80,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 13.38.20;81,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 13.38.21;82,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.22;83,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.23;84,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.38.24;85,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.25;86,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.26;87,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.27;88,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.28;89,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.29;90,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.30;91,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.31;92,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.32;93,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.33;94,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.34;95,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.35;96,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.36;97,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.37;98,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.38;99,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.39;100,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.40;101,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 13.38.41;102,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.42;103,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 13.38.43;104,000;95;40;0,30;12,84;0,13;0,24
