"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.35.03;0,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.35.04;1,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.35.05;2,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.35.06;3,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.35.07;4,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.08;5,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.09;6,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.10;7,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.11;8,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.12;9,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.13;10,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.14;11,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.35.15;12,000;86;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.16;13,000;87;36;0,28;10,70;0,11;0,20
01.12.2021 14.35.17;14,000;87;36;0,28;10,70;0,11;0,20
01.12.2021 14.35.18;15,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.19;16,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.20;17,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.21;18,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.22;19,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.23;20,000;86;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.24;21,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.25;22,000;87;36;0,28;10,70;0,11;0,20
01.12.2021 14.35.26;23,000;86;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.27;24,000;86;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.28;25,000;86;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.29;26,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.30;27,000;87;36;0,28;12,84;0,13;0,24
01.12.2021 14.35.31;28,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.32;29,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.33;30,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.34;31,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.35.35;32,000;87;37;0,28;12,84;0,13;0,24
01.12.2021 14.35.36;33,000;86;35;0,27;12,84;0,13;0,24
01.12.2021 14.35.37;34,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.38;35,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.39;36,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.40;37,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.41;38,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.42;39,000;85;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.43;40,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.44;41,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.45;42,000;85;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.46;43,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.47;44,000;86;36;0,27;10,70;0,11;0,20
01.12.2021 14.35.48;45,000;85;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.49;46,000;85;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.50;47,000;85;35;0,27;10,70;0,11;0,20
01.12.2021 14.35.51;48,000;84;34;0,26;10,70;0,11;0,20
01.12.2021 14.35.52;49,000;85;35;0,27;12,84;0,13;0,24
01.12.2021 14.35.53;50,000;85;35;0,27;12,84;0,13;0,24
01.12.2021 14.35.54;51,000;0;0;0,00;25,68;0,27;0,48
01.12.2021 14.35.55;52,000;0;1;0,00;252,52;2,63;4,67
01.12.2021 14.35.56;53,000;0;1;0,00;269,63;2,80;4,99
01.12.2021 14.35.57;54,000;0;1;0,00;286,75;2,98;5,30
01.12.2021 14.35.58;55,000;0;1;0,00;303,87;3,16;5,62
01.12.2021 14.35.59;56,000;0;0;0,00;149,80;1,56;2,77
01.12.2021 14.36.00;57,000;0;0;0,00;233,26;2,43;4,32
