"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.55.59;0,000;90;36;0,28;12,84;0,13;0,24
01.12.2021 14.56.00;1,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.56.01;2,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.02;3,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.03;4,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.56.04;5,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.05;6,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.06;7,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.07;8,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.08;9,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.09;10,000;91;37;0,29;12,84;0,13;0,24
01.12.2021 14.56.10;11,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.11;12,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.12;13,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.13;14,000;91;37;0,29;12,84;0,13;0,24
01.12.2021 14.56.14;15,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.15;16,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.16;17,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.17;18,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.18;19,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.19;20,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.20;21,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.21;22,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.22;23,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.23;24,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.24;25,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.25;26,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.26;27,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.27;28,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.28;29,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.29;30,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.30;31,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.31;32,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.32;33,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.33;34,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.34;35,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 14.56.35;36,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.36;37,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.37;38,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.56.38;39,000;89;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.39;40,000;89;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.40;41,000;89;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.41;42,000;89;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.42;43,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.43;44,000;89;38;0,28;10,70;0,11;0,20
01.12.2021 14.56.44;45,000;89;36;0,28;10,70;0,11;0,20
01.12.2021 14.56.45;46,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.46;47,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 14.56.47;48,000;89;38;0,28;12,84;0,13;0,24
01.12.2021 14.56.48;49,000;89;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.49;50,000;88;37;0,28;12,84;0,13;0,24
01.12.2021 14.56.50;51,000;0;0;0,00;89,88;0,93;1,66
01.12.2021 14.56.51;52,000;0;0;0,00;87,74;0,91;1,62
01.12.2021 14.56.52;53,000;0;0;0,00;74,90;0,78;1,39
01.12.2021 14.56.53;54,000;0;0;0,00;62,06;0,65;1,15
01.12.2021 14.56.54;55,000;0;0;0,00;83,46;0,87;1,54
01.12.2021 14.56.55;56,000;0;0;0,00;55,64;0,58;1,03
01.12.2021 14.56.56;57,000;0;0;0,00;74,90;0,78;1,39
01.12.2021 14.56.57;58,000;0;0;0,00;70,62;0,73;1,31
01.12.2021 14.56.58;59,000;0;0;0,00;70,62;0,73;1,31
01.12.2021 14.56.59;60,000;0;0;0,00;74,90;0,78;1,39
01.12.2021 14.57.00;61,000;0;0;0,00;14,98;0,16;0,28
01.12.2021 14.57.01;62,000;63;25;0,20;12,84;0,13;0,24
01.12.2021 14.57.02;63,000;64;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.03;64,000;64;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.04;65,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.05;66,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.06;67,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.07;68,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.08;69,000;64;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.09;70,000;64;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.10;71,000;64;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.11;72,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.12;73,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.13;74,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.14;75,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.15;76,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.16;77,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.17;78,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.18;79,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.19;80,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.20;81,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.21;82,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.22;83,000;63;25;0,20;12,84;0,13;0,24
01.12.2021 14.57.23;84,000;63;25;0,20;12,84;0,13;0,24
01.12.2021 14.57.24;85,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.25;86,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.26;87,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.27;88,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.28;89,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.29;90,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.30;91,000;63;25;0,20;12,84;0,13;0,24
01.12.2021 14.57.31;92,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.32;93,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.33;94,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.34;95,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.35;96,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.36;97,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.37;98,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.38;99,000;63;25;0,20;12,84;0,13;0,24
01.12.2021 14.57.39;100,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.40;101,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.41;102,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.42;103,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.43;104,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.57.44;105,000;64;27;0,20;10,70;0,11;0,20
01.12.2021 14.57.45;106,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.46;107,000;63;25;0,20;10,70;0,11;0,20
01.12.2021 14.57.47;108,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.48;109,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.49;110,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.50;111,000;63;26;0,20;12,84;0,13;0,24
01.12.2021 14.57.51;112,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.57.52;113,000;63;26;0,20;10,70;0,11;0,20
01.12.2021 14.57.53;114,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.57.54;115,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.57.55;116,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.56;117,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.57;118,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.57.58;119,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.57.59;120,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.00;121,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.01;122,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.02;123,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.03;124,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.58.04;125,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.58.05;126,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.58.06;127,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.58.07;128,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 14.58.08;129,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.09;130,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.10;131,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.11;132,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.12;133,000;62;25;0,19;10,70;0,11;0,20
01.12.2021 14.58.13;134,000;9;3;0,03;21,40;0,22;0,40
01.12.2021 14.58.14;135,000;0;1;0,00;276,05;2,87;5,11
01.12.2021 14.58.15;136,000;0;1;0,00;269,63;2,80;4,99
01.12.2021 14.58.16;137,000;0;1;0,00;261,08;2,72;4,83
01.12.2021 14.58.17;138,000;11;2;0,03;19,26;0,20;0,36
01.12.2021 14.58.18;139,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.58.19;140,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.58.20;141,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.58.21;142,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.58.22;143,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.58.23;144,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.58.24;145,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.58.25;146,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.58.26;147,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.58.27;148,000;0;0;0,00;0,00;0,00;0,00
