"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 13.58.55;0,000;65;30;0,21;17,12;0,18;0,32
01.12.2021 13.58.56;1,000;66;30;0,22;17,12;0,18;0,32
01.12.2021 13.58.57;2,000;67;31;0,22;14,98;0,16;0,28
01.12.2021 13.58.58;3,000;68;31;0,22;14,98;0,16;0,28
01.12.2021 13.58.59;4,000;70;32;0,23;14,98;0,16;0,28
01.12.2021 13.59.00;5,000;70;32;0,23;14,98;0,16;0,28
01.12.2021 13.59.01;6,000;71;31;0,23;14,98;0,16;0,28
01.12.2021 13.59.02;7,000;71;32;0,23;12,84;0,13;0,24
01.12.2021 13.59.03;8,000;73;32;0,24;12,84;0,13;0,24
01.12.2021 13.59.04;9,000;73;32;0,24;12,84;0,13;0,24
01.12.2021 13.59.05;10,000;74;32;0,24;12,84;0,13;0,24
01.12.2021 13.59.06;11,000;75;33;0,24;12,84;0,13;0,24
01.12.2021 13.59.07;12,000;75;33;0,24;14,98;0,16;0,28
01.12.2021 13.59.08;13,000;76;33;0,24;14,98;0,16;0,28
01.12.2021 13.59.09;14,000;77;33;0,25;14,98;0,16;0,28
01.12.2021 13.59.10;15,000;78;34;0,25;14,98;0,16;0,28
01.12.2021 13.59.11;16,000;79;34;0,25;14,98;0,16;0,28
01.12.2021 13.59.12;17,000;79;34;0,25;14,98;0,16;0,28
01.12.2021 13.59.13;18,000;79;34;0,25;17,12;0,18;0,32
01.12.2021 13.59.14;19,000;80;34;0,26;14,98;0,16;0,28
01.12.2021 13.59.15;20,000;81;35;0,26;14,98;0,16;0,28
01.12.2021 13.59.16;21,000;82;35;0,26;14,98;0,16;0,28
01.12.2021 13.59.17;22,000;83;36;0,27;14,98;0,16;0,28
01.12.2021 13.59.18;23,000;83;36;0,27;12,84;0,13;0,24
01.12.2021 13.59.19;24,000;83;36;0,27;12,84;0,13;0,24
01.12.2021 13.59.20;25,000;84;36;0,27;12,84;0,13;0,24
01.12.2021 13.59.21;26,000;85;36;0,27;12,84;0,13;0,24
01.12.2021 13.59.22;27,000;85;37;0,27;12,84;0,13;0,24
01.12.2021 13.59.23;28,000;86;37;0,28;12,84;0,13;0,24
01.12.2021 13.59.24;29,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 13.59.25;30,000;86;37;0,28;12,84;0,13;0,24
01.12.2021 13.59.26;31,000;87;37;0,28;12,84;0,13;0,24
01.12.2021 13.59.27;32,000;88;37;0,28;12,84;0,13;0,24
01.12.2021 13.59.28;33,000;88;37;0,28;12,84;0,13;0,24
01.12.2021 13.59.29;34,000;88;37;0,28;14,98;0,16;0,28
01.12.2021 13.59.30;35,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 13.59.31;36,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 13.59.32;37,000;90;38;0,29;14,98;0,16;0,28
01.12.2021 13.59.33;38,000;90;38;0,29;14,98;0,16;0,28
01.12.2021 13.59.34;39,000;90;38;0,29;14,98;0,16;0,28
01.12.2021 13.59.35;40,000;90;37;0,28;14,98;0,16;0,28
01.12.2021 13.59.36;41,000;90;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.37;42,000;91;38;0,29;14,98;0,16;0,28
01.12.2021 13.59.38;43,000;91;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.39;44,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.40;45,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 13.59.41;46,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.42;47,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.43;48,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 13.59.44;49,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.45;50,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.46;51,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.47;52,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.48;53,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.49;54,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.50;55,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 13.59.51;56,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.52;57,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 13.59.53;58,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.54;59,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.59.55;60,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.56;61,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.59.57;62,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 13.59.58;63,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 13.59.59;64,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.00.00;65,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.00.01;66,000;93;40;0,30;14,98;0,16;0,28
01.12.2021 14.00.02;67,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.00.03;68,000;93;40;0,30;14,98;0,16;0,28
01.12.2021 14.00.04;69,000;93;40;0,30;14,98;0,16;0,28
01.12.2021 14.00.05;70,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.00.06;71,000;93;40;0,30;12,84;0,13;0,24
01.12.2021 14.00.07;72,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.00.08;73,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.00.09;74,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.00.10;75,000;93;40;0,30;12,84;0,13;0,24
01.12.2021 14.00.11;76,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.00.12;77,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.00.13;78,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.00.14;79,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.00.15;80,000;93;39;0,30;12,84;0,13;0,24
