"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.22.15;0,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.22.16;1,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.22.17;2,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.22.18;3,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.22.19;4,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.22.20;5,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.22.21;6,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.22.22;7,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.22.23;8,000;86;36;0,27;12,84;0,13;0,24
01.12.2021 14.22.24;9,000;86;37;0,28;12,84;0,13;0,24
01.12.2021 14.22.25;10,000;86;37;0,28;12,84;0,13;0,24
01.12.2021 14.22.26;11,000;86;36;0,27;14,98;0,16;0,28
01.12.2021 14.22.27;12,000;87;37;0,28;14,98;0,16;0,28
01.12.2021 14.22.28;13,000;88;38;0,28;14,98;0,16;0,28
01.12.2021 14.22.29;14,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 14.22.30;15,000;89;38;0,28;12,84;0,13;0,24
01.12.2021 14.22.31;16,000;89;38;0,28;12,84;0,13;0,24
01.12.2021 14.22.32;17,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.22.33;18,000;90;39;0,29;12,84;0,13;0,24
01.12.2021 14.22.34;19,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.22.35;20,000;91;38;0,29;14,98;0,16;0,28
01.12.2021 14.22.36;21,000;91;38;0,29;14,98;0,16;0,28
01.12.2021 14.22.37;22,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.22.38;23,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.22.39;24,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.22.40;25,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.22.41;26,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.22.42;27,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.43;28,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.44;29,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.45;30,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.46;31,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.47;32,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.22.48;33,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.22.49;34,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.22.50;35,000;94;40;0,30;12,84;0,13;0,24
