"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.13.03;0,000;89;38;0,28;14,98;0,16;0,28
01.12.2021 14.13.04;1,000;90;38;0,29;14,98;0,16;0,28
01.12.2021 14.13.05;2,000;90;38;0,29;14,98;0,16;0,28
01.12.2021 14.13.06;3,000;91;38;0,29;14,98;0,16;0,28
01.12.2021 14.13.07;4,000;91;39;0,29;14,98;0,16;0,28
01.12.2021 14.13.08;5,000;91;38;0,29;14,98;0,16;0,28
01.12.2021 14.13.09;6,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.13.10;7,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.13.11;8,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.12;9,000;92;39;0,29;14,98;0,16;0,28
01.12.2021 14.13.13;10,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.14;11,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.15;12,000;94;40;0,30;14,98;0,16;0,28
01.12.2021 14.13.16;13,000;93;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.17;14,000;94;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.18;15,000;94;40;0,30;14,98;0,16;0,28
01.12.2021 14.13.19;16,000;94;39;0,30;14,98;0,16;0,28
01.12.2021 14.13.20;17,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.21;18,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.22;19,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.13.23;20,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.24;21,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.25;22,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.13.26;23,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.27;24,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.28;25,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.29;26,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.30;27,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.13.31;28,000;95;39;0,30;12,84;0,13;0,24
01.12.2021 14.13.32;29,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.33;30,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.13.34;31,000;94;40;0,30;12,84;0,13;0,24
