"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
06.12.2021 15.25.20;0,000;79;33;0,25;12,84;0,13;0,24
06.12.2021 15.25.21;1,000;80;35;0,26;12,84;0,13;0,24
06.12.2021 15.25.22;2,000;80;35;0,26;12,84;0,13;0,24
06.12.2021 15.25.23;3,000;81;35;0,26;14,98;0,16;0,28
06.12.2021 15.25.24;4,000;82;36;0,26;14,98;0,16;0,28
06.12.2021 15.25.25;5,000;82;35;0,26;14,98;0,16;0,28
06.12.2021 15.25.26;6,000;83;36;0,27;14,98;0,16;0,28
06.12.2021 15.25.27;7,000;84;36;0,27;14,98;0,16;0,28
06.12.2021 15.25.28;8,000;84;36;0,27;12,84;0,13;0,24
06.12.2021 15.25.29;9,000;85;37;0,27;12,84;0,13;0,24
06.12.2021 15.25.30;10,000;86;37;0,28;12,84;0,13;0,24
06.12.2021 15.25.31;11,000;86;36;0,27;12,84;0,13;0,24
06.12.2021 15.25.32;12,000;86;37;0,28;12,84;0,13;0,24
06.12.2021 15.25.33;13,000;87;37;0,28;12,84;0,13;0,24
06.12.2021 15.25.34;14,000;88;37;0,28;14,98;0,16;0,28
06.12.2021 15.25.35;15,000;88;37;0,28;14,98;0,16;0,28
06.12.2021 15.25.36;16,000;89;38;0,28;14,98;0,16;0,28
06.12.2021 15.25.37;17,000;89;38;0,28;14,98;0,16;0,28
06.12.2021 15.25.38;18,000;89;38;0,28;14,98;0,16;0,28
06.12.2021 15.25.39;19,000;90;39;0,29;14,98;0,16;0,28
06.12.2021 15.25.40;20,000;90;38;0,29;14,98;0,16;0,28
06.12.2021 15.25.41;21,000;90;38;0,29;12,84;0,13;0,24
06.12.2021 15.25.42;22,000;90;38;0,29;12,84;0,13;0,24
06.12.2021 15.25.43;23,000;91;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.44;24,000;91;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.45;25,000;91;38;0,29;12,84;0,13;0,24
06.12.2021 15.25.46;26,000;92;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.47;27,000;92;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.48;28,000;92;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.49;29,000;92;39;0,29;12,84;0,13;0,24
06.12.2021 15.25.50;30,000;93;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.51;31,000;93;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.52;32,000;93;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.53;33,000;93;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.54;34,000;94;40;0,30;12,84;0,13;0,24
06.12.2021 15.25.55;35,000;94;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.56;36,000;94;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.57;37,000;94;39;0,30;12,84;0,13;0,24
06.12.2021 15.25.58;38,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.25.59;39,000;94;39;0,30;14,98;0,16;0,28
06.12.2021 15.26.00;40,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.26.01;41,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.26.02;42,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.03;43,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.04;44,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.05;45,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.06;46,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.07;47,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.26.08;48,000;95;40;0,30;12,84;0,13;0,24
