"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.48.51;0,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.48.52;1,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.48.53;2,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.48.54;3,000;87;35;0,27;10,70;0,11;0,20
01.12.2021 14.48.55;4,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.48.56;5,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.48.57;6,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 14.48.58;7,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 14.48.59;8,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.49.00;9,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.49.01;10,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 14.49.02;11,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.49.03;12,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.49.04;13,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.49.05;14,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.06;15,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.07;16,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.08;17,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.09;18,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.10;19,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.11;20,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.12;21,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.13;22,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.14;23,000;94;39;0,30;14,98;0,16;0,28
01.12.2021 14.49.15;24,000;94;39;0,30;14,98;0,16;0,28
01.12.2021 14.49.16;25,000;94;40;0,30;14,98;0,16;0,28
01.12.2021 14.49.17;26,000;94;39;0,30;14,98;0,16;0,28
01.12.2021 14.49.18;27,000;94;40;0,30;14,98;0,16;0,28
01.12.2021 14.49.19;28,000;94;40;0,30;14,98;0,16;0,28
01.12.2021 14.49.20;29,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.21;30,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.22;31,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.23;32,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.49.24;33,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.49.25;34,000;95;40;0,30;12,84;0,13;0,24
01.12.2021 14.49.26;35,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.27;36,000;94;39;0,30;12,84;0,13;0,24
01.12.2021 14.49.28;37,000;93;38;0,29;12,84;0,13;0,24
01.12.2021 14.49.29;38,000;94;40;0,30;12,84;0,13;0,24
01.12.2021 14.49.30;39,000;0;1;0,00;254,66;2,65;4,71
01.12.2021 14.49.31;40,000;0;1;0,00;278,19;2,89;5,15
01.12.2021 14.49.32;41,000;0;0;0,00;228,98;2,38;4,24
01.12.2021 14.49.33;42,000;0;1;0,00;273,91;2,85;5,07
01.12.2021 14.49.34;43,000;0;0;0,00;267,49;2,78;4,95
01.12.2021 14.49.35;44,000;0;2;0,01;297,45;3,09;5,50
01.12.2021 14.49.36;45,000;0;1;0,00;267,49;2,78;4,95
01.12.2021 14.49.37;46,000;0;1;0,00;271,77;2,83;5,03
01.12.2021 14.49.38;47,000;0;1;0,00;286,75;2,98;5,30
01.12.2021 14.49.39;48,000;0;1;0,00;286,75;2,98;5,30
01.12.2021 14.49.40;49,000;0;2;0,01;299,59;3,12;5,54
01.12.2021 14.49.41;50,000;0;1;0,00;303,87;3,16;5,62
01.12.2021 14.49.42;51,000;0;2;0,01;297,45;3,09;5,50
01.12.2021 14.49.43;52,000;0;1;0,00;278,19;2,89;5,15
01.12.2021 14.49.44;53,000;0;2;0,01;282,47;2,94;5,23
01.12.2021 14.49.45;54,000;0;0;0,00;248,24;2,58;4,59
01.12.2021 14.49.46;55,000;0;0;0,00;19,26;0,20;0,36
01.12.2021 14.49.47;56,000;66;26;0,21;12,84;0,13;0,24
01.12.2021 14.49.48;57,000;66;27;0,21;12,84;0,13;0,24
01.12.2021 14.49.49;58,000;66;27;0,21;12,84;0,13;0,24
01.12.2021 14.49.50;59,000;66;27;0,21;12,84;0,13;0,24
01.12.2021 14.49.51;60,000;66;27;0,21;12,84;0,13;0,24
