"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
06.12.2021 15.16.18;0,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.16.19;1,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.20;2,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.21;3,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.22;4,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.23;5,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.24;6,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.25;7,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.26;8,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.27;9,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.28;10,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.29;11,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.30;12,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.31;13,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.32;14,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.33;15,000;98;42;0,31;12,84;0,13;0,24
06.12.2021 15.16.34;16,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.35;17,000;98;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.36;18,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.16.37;19,000;98;42;0,31;14,98;0,16;0,28
06.12.2021 15.16.38;20,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.39;21,000;98;43;0,32;12,84;0,13;0,24
06.12.2021 15.16.40;22,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.41;23,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.42;24,000;99;43;0,32;12,84;0,13;0,24
06.12.2021 15.16.43;25,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.44;26,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.45;27,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.46;28,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.47;29,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.16.48;30,000;97;42;0,31;14,98;0,16;0,28
06.12.2021 15.16.49;31,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.50;32,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.51;33,000;97;42;0,31;12,84;0,13;0,24
06.12.2021 15.16.52;34,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.53;35,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.54;36,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.55;37,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.56;38,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.16.57;39,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.58;40,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.16.59;41,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.00;42,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.01;43,000;96;41;0,31;14,98;0,16;0,28
06.12.2021 15.17.02;44,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.03;45,000;96;41;0,31;14,98;0,16;0,28
06.12.2021 15.17.04;46,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.17.05;47,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.17.06;48,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.07;49,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.08;50,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.09;51,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.10;52,000;96;41;0,31;10,70;0,11;0,20
06.12.2021 15.17.11;53,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.12;54,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.13;55,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.14;56,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.15;57,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.16;58,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.17;59,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.18;60,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.19;61,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.17.20;62,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.17.21;63,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.22;64,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.23;65,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.24;66,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.25;67,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.26;68,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.17.27;69,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.28;70,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.29;71,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.30;72,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.31;73,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.32;74,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.33;75,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.34;76,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.35;77,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.36;78,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.37;79,000;96;41;0,31;14,98;0,16;0,28
06.12.2021 15.17.38;80,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.39;81,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.40;82,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.41;83,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.42;84,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.43;85,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.44;86,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.45;87,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.46;88,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.47;89,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.48;90,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.49;91,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.50;92,000;94;40;0,30;14,98;0,16;0,28
06.12.2021 15.17.51;93,000;11;4;0,03;23,54;0,24;0,44
06.12.2021 15.17.52;94,000;0;0;0,00;293,17;3,05;5,42
06.12.2021 15.17.53;95,000;6;9;0,04;629,15;6,54;11,64
06.12.2021 15.17.54;96,000;2;4;0,01;419,43;4,36;7,76
06.12.2021 15.17.55;97,000;3;7;0,02;513,59;5,34;9,50
06.12.2021 15.17.56;98,000;5;8;0,03;582,07;6,05;10,77
06.12.2021 15.17.57;99,000;4;8;0,03;543,55;5,65;10,06
06.12.2021 15.17.58;100,000;4;7;0,03;520,01;5,41;9,62
06.12.2021 15.17.59;101,000;0;3;0,01;329,55;3,43;6,10
06.12.2021 15.18.00;102,000;1;4;0,01;408,73;4,25;7,56
06.12.2021 15.18.01;103,000;1;4;0,01;415,15;4,32;7,68
06.12.2021 15.18.02;104,000;1;4;0,01;432,27;4,50;8,00
06.12.2021 15.18.03;105,000;2;5;0,02;423,71;4,41;7,84
06.12.2021 15.18.04;106,000;2;5;0,02;427,99;4,45;7,92
06.12.2021 15.18.05;107,000;1;4;0,01;402,31;4,18;7,44
06.12.2021 15.18.06;108,000;2;5;0,02;445,11;4,63;8,23
06.12.2021 15.18.07;109,000;2;5;0,02;460,09;4,78;8,51
06.12.2021 15.18.08;110,000;2;5;0,02;451,53;4,70;8,35
06.12.2021 15.18.09;111,000;2;5;0,02;430,13;4,47;7,96
06.12.2021 15.18.10;112,000;0;0;0,00;21,40;0,22;0,40
06.12.2021 15.18.11;113,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.12;114,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.13;115,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.14;116,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.15;117,000;76;32;0,24;10,70;0,11;0,20
06.12.2021 15.18.16;118,000;76;32;0,24;10,70;0,11;0,20
06.12.2021 15.18.17;119,000;76;32;0,24;10,70;0,11;0,20
06.12.2021 15.18.18;120,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.19;121,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.20;122,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.21;123,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.22;124,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.23;125,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.24;126,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.25;127,000;75;32;0,24;10,70;0,11;0,20
06.12.2021 15.18.26;128,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.18.27;129,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.18.28;130,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.18.29;131,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.18.30;132,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.31;133,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.32;134,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.33;135,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.34;136,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.35;137,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.36;138,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.18.37;139,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.38;140,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.39;141,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.40;142,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.41;143,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.42;144,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.43;145,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.44;146,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.18.45;147,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.46;148,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.47;149,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.48;150,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.49;151,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.50;152,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.51;153,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.18.52;154,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.53;155,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.54;156,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.55;157,000;74;32;0,24;10,70;0,11;0,20
06.12.2021 15.18.56;158,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.57;159,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.58;160,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.18.59;161,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.00;162,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.01;163,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.02;164,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.03;165,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.04;166,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.05;167,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.19.06;168,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.07;169,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.08;170,000;73;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.09;171,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.19.10;172,000;74;30;0,23;10,70;0,11;0,20
