UVA;UVB
0;0
0;0
0;0
0;0
91;37
91;38
92;38
92;38
91;38
92;38
92;38
92;38
92;38
91;38
92;38
91;38
91;38
91;38
91;39
91;38
91;38
91;38
90;37
90;38
90;37
90;38
91;38
90;38
90;37
90;38
90;37
90;38
90;38
90;38
90;37
90;37
90;37
90;38
90;37
90;38
90;37
89;37
90;37
89;37
90;37
90;38
89;37
89;37
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
61;24
62;25
62;25
62;25
62;25
62;25
62;25
62;25
62;25
61;25
62;25
62;25
62;25
62;25
62;25
61;25
62;25
61;25
62;25
62;25
61;25
62;25
62;25
62;25
61;25
61;25
61;25
61;25
61;25
61;24
61;24
61;24
61;24
61;25
61;25
61;25
61;24
61;25
61;25
61;25
61;25
61;25
61;24
61;25
61;25
61;25
61;25
61;25
60;24
61;25
61;25
61;24
60;24
60;24
60;24
61;25
60;24
61;24
61;24
61;25
60;24
61;25
60;24
60;24
61;25
60;25
60;24
60;24
60;24
60;24
60;24
60;24
61;25
60;24
60;24
61;25
60;24
60;24
60;25
60;24
60;24
60;24
60;24
60;24
60;24
60;25
