UVA;UVB
0;0
0;0
0;0
87;35
90;38
90;38
91;39
90;38
91;38
91;38
91;38
92;39
92;39
92;38
93;39
93;39
93;39
93;39
93;39
93;39
94;39
94;39
93;39
94;39
94;39
94;40
94;39
94;40
94;40
94;39
94;39
94;39
95;40
95;40
95;40
94;39
94;39
93;38
94;40
0;1
0;1
0;0
0;1
0;0
0;2
0;1
0;1
0;1
0;1
0;2
0;1
0;2
0;1
0;2
0;0
0;0
66;26
66;27
66;27
66;27
66;27
66;27
66;27
67;27
66;27
66;27
66;27
66;27
66;26
66;27
66;27
65;26
66;27
66;27
66;27
66;27
65;27
66;27
65;26
65;27
65;26
65;26
65;26
65;26
64;26
65;26
65;26
65;26
64;26
65;26
65;27
65;26
64;26
64;26
64;26
64;27
65;27
64;26
64;26
64;26
64;26
64;26
64;26
64;26
64;26
64;26
64;25
64;26
