UVA;UVB
79;33
80;35
80;35
81;35
82;36
82;35
83;36
84;36
84;36
85;37
86;37
86;36
86;37
87;37
88;37
88;37
89;38
89;38
89;38
90;39
90;38
90;38
90;38
91;39
91;39
91;38
92;39
92;39
92;39
92;39
93;39
93;39
93;39
93;39
94;40
94;39
94;39
94;39
94;40
94;39
95;40
94;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
96;40
96;40
96;41
96;40
95;40
96;41
96;41
96;40
96;40
96;40
96;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
96;40
96;40
96;41
96;41
96;40
96;40
96;40
95;40
96;41
95;41
95;40
95;40
95;40
95;40
95;40
94;39
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
94;40
94;40
94;40
94;39
94;40
94;40
94;39
94;40
94;40
94;39
94;39
94;40
94;39
94;39
94;40
93;39
93;39
94;40
93;39
94;40
93;39
93;39
93;39
93;39
93;39
93;39
92;38
93;39
93;39
92;39
92;39
93;39
93;39
92;39
92;38
92;38
92;39
92;39
91;38
92;38
92;38
91;38
91;38
92;39
91;38
92;39
92;38
91;38
91;38
91;38
91;38
90;37
91;38
91;38
0;0
4;8
2;5
0;0
0;3
1;4
4;7
0;1
0;0
0;1
0;0
63;25
65;28
64;26
64;26
64;27
64;26
64;26
65;28
64;26
64;26
64;26
64;26
64;26
64;26
64;26
64;27
63;26
64;26
64;26
63;26
64;26
63;26
63;26
64;26
63;26
63;26
63;26
63;26
63;26
63;26
64;26
63;26
63;26
63;26
63;25
63;26
63;26
63;26
63;26
63;26
63;25
63;26
63;25
63;26
63;25
63;25
