UVA;UVB
96;40
97;41
97;41
97;41
96;41
96;41
97;41
96;41
97;41
97;41
97;41
97;41
96;41
97;41
97;41
98;42
97;41
98;41
96;40
98;42
97;41
98;43
97;41
97;41
99;43
97;41
97;41
97;41
97;41
97;41
97;42
97;41
97;41
97;42
97;41
97;41
96;41
97;41
96;40
97;41
97;41
97;41
96;40
96;41
96;40
96;41
97;41
97;41
96;41
96;41
97;41
95;40
96;41
96;40
95;40
96;41
96;41
95;40
97;41
96;40
96;41
96;41
96;40
95;40
96;40
96;40
95;40
96;40
96;40
95;40
96;40
95;40
95;40
96;40
96;40
95;40
95;40
95;40
95;40
96;41
95;40
94;40
95;40
95;40
94;40
95;40
95;40
94;40
95;40
95;40
95;40
94;40
94;40
11;4
0;0
6;9
2;4
3;7
5;8
4;8
4;7
0;3
1;4
1;4
1;4
2;5
2;5
1;4
2;5
2;5
2;5
2;5
0;0
75;31
76;32
76;32
76;32
76;32
76;32
76;32
75;31
75;32
75;31
76;32
75;31
75;31
75;31
75;32
75;31
75;31
75;31
75;31
75;32
75;31
75;31
75;32
75;31
75;31
75;32
75;31
75;31
75;31
75;31
74;31
74;31
74;31
75;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;32
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
74;31
73;30
74;31
74;31
73;31
74;31
74;30
