UVA;UVB
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
90;36
93;39
93;39
93;39
93;39
93;39
92;38
92;38
92;38
93;39
92;39
92;38
92;38
92;38
92;38
92;39
92;39
92;39
92;38
92;39
92;38
92;39
92;38
92;38
92;38
92;38
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;0
0;0
0;0
49;20
49;20
49;21
49;21
49;20
49;21
49;21
49;20
49;20
49;21
49;20
49;20
49;20
49;21
49;20
49;21
49;21
49;20
49;21
49;21
49;21
49;20
49;20
49;20
49;21
49;20
49;20
49;20
49;20
48;20
49;21
49;20
49;20
48;20
49;20
49;20
49;20
49;21
49;21
49;20
49;20
49;21
49;20
49;20
49;20
48;20
48;20
48;20
48;19
49;21
49;21
49;20
48;20
49;21
49;21
48;20
49;21
49;20
48;20
49;20
49;20
48;20
49;20
48;20
48;19
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;19
48;20
48;20
48;20
48;20
48;20
48;20
48;20
48;20
47;19
47;20
47;19
47;19
48;20
47;19
48;20
48;20
48;20
48;20
48;20
48;19
48;20
47;19
47;19
48;20
48;20
47;20
47;19
48;20
48;20
47;19
47;20
47;20
47;19
47;19
48;20
47;20
47;20
47;19
47;20
47;20
47;19
47;19
48;20
47;20
47;20
47;19
47;19
47;20
47;20
47;19
47;19
47;19
48;20
47;20
47;19
47;20
46;19
47;19
47;19
48;20
47;20
47;20
48;21
47;20
47;19
47;20
47;19
46;19
46;19
47;19
47;19
47;20
47;19
47;19
48;21
47;19
47;19
46;19
47;19
47;19
46;19
46;19
46;19
46;20
46;19
47;19
46;19
46;19
47;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
47;20
45;18
46;19
46;19
46;19
46;19
47;19
46;19
46;19
46;19
46;19
46;19
46;19
46;20
46;19
46;19
46;19
46;19
47;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
46;19
45;19
46;19
45;19
46;19
46;19
46;19
46;19
46;19
46;19
45;18
46;19
45;18
46;19
46;19
46;19
46;19
45;18
46;19
46;19
45;19
46;19
45;19
46;19
46;19
45;18
45;18
46;19
46;19
45;18
45;19
45;18
45;18
45;18
46;19
45;18
45;19
46;19
45;18
45;19
45;19
45;19
45;19
45;19
45;19
45;18
45;18
45;19
45;18
45;19
45;18
46;19
45;18
45;19
46;19
46;19
45;18
45;18
46;19
45;19
45;18
45;18
45;19
45;19
45;18
45;19
45;19
45;19
45;18
45;18
45;19
45;19
45;18
45;19
45;19
45;19
45;19
45;18
45;18
45;18
45;18
45;19
45;18
45;19
44;18
45;18
45;18
45;18
45;19
45;18
45;18
45;18
45;19
