UVA;UVB
49;22
52;24
52;25
53;25
54;25
55;26
56;26
57;26
59;27
64;29
66;30
68;30
69;31
70;32
70;31
71;31
72;32
73;32
74;32
75;33
76;33
77;33
78;34
79;34
79;34
81;35
81;35
82;35
83;36
84;36
85;36
85;36
86;37
86;37
87;37
87;37
88;37
88;37
88;37
89;38
90;38
90;38
90;38
91;38
92;39
92;38
92;39
92;39
93;39
93;39
93;39
94;40
94;40
94;40
94;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
95;40
96;41
95;40
96;40
95;40
96;40
96;40
96;40
96;41
96;40
96;40
96;40
96;40
96;40
97;41
97;41
96;40
96;40
97;41
97;41
96;41
96;40
96;40
96;40
97;40
97;40
97;40
97;41
96;40
96;41
97;41
97;41
96;40
96;40
96;40
96;40
96;40
96;40
96;40
96;40
96;41
96;41
96;40
96;41
96;40
96;40
96;40
96;40
95;39
96;40
95;40
95;40
95;40
95;39
95;40
5;8
3;6
1;4
1;4
1;4
2;5
2;5
3;5
2;4
5;9
6;9
5;8
4;7
0;0
0;0
0;0
0;0
0;0
3;6
5;8
4;7
5;8
5;8
4;7
3;6
5;8
0;1
71;28
75;31
75;30
75;31
75;31
75;32
76;32
76;32
76;33
76;32
76;32
77;33
75;32
76;32
76;33
75;31
76;32
75;32
75;31
75;31
74;31
75;32
75;31
74;31
75;31
75;31
75;31
75;31
75;31
74;31
75;31
75;31
74;30
74;31
74;31
73;31
74;30
74;31
73;31
74;31
74;31
73;30
74;31
73;30
73;30
74;31
73;30
73;30
73;30
74;31
73;30
74;31
74;31
74;31
73;31
73;31
73;31
74;31
74;31
73;31
74;31
74;31
73;30
73;30
73;30
73;30
73;30
73;30
73;30
73;30
74;31
73;30
73;30
74;31
73;31
73;30
73;30
73;31
73;30
73;30
73;30
73;30
73;31
73;30
73;30
73;30
73;31
73;30
73;30
73;30
73;30
73;31
72;30
73;30
73;30
73;30
72;30
72;30
72;30
72;30
72;30
74;31
76;32
42;17
0;0
0;0
0;0
0;0
