UVA;UVB
89;38
90;38
90;38
91;38
91;39
91;38
92;39
92;39
93;39
92;39
93;39
93;39
94;40
93;39
94;39
94;40
94;39
94;40
94;40
94;39
94;40
95;40
94;39
95;40
95;40
95;40
95;40
94;39
95;39
95;40
95;40
94;40
95;40
95;40
95;40
95;40
95;40
94;39
95;40
95;40
95;40
94;40
95;40
95;40
94;40
95;40
95;40
95;40
95;40
95;40
0;0
0;0
0;0
0;0
0;1
0;1
0;1
0;1
0;2
0;1
0;0
0;0
0;0
0;0
0;0
63;26
62;27
63;27
63;27
63;27
63;27
63;27
63;26
63;27
62;27
63;27
63;26
62;26
62;26
63;27
63;27
62;26
63;27
62;26
62;26
62;26
62;26
62;27
62;26
62;26
62;26
62;27
63;27
62;27
62;26
62;26
62;26
62;26
62;26
