UVA;UVB
65;30
66;30
67;31
68;31
70;32
70;32
71;31
71;32
73;32
73;32
74;32
75;33
75;33
76;33
77;33
78;34
79;34
79;34
79;34
80;34
81;35
82;35
83;36
83;36
83;36
84;36
85;36
85;37
86;37
86;36
86;37
87;37
88;37
88;37
88;37
89;38
89;38
90;38
90;38
90;38
90;37
90;39
91;38
91;39
91;39
91;38
91;39
91;39
91;38
92;39
92;39
92;39
92;39
92;39
92;39
92;39
92;39
92;38
92;39
93;39
92;39
93;39
92;39
93;39
93;39
93;39
93;40
93;39
93;40
93;40
93;39
93;40
93;39
93;39
93;39
93;40
94;40
93;39
94;40
94;40
93;39
93;40
93;39
93;39
93;39
93;39
93;39
93;39
93;39
93;40
93;39
93;39
93;39
92;39
93;40
93;39
93;39
93;39
93;39
93;39
93;39
93;39
93;39
93;39
93;40
93;40
92;39
93;40
92;39
93;39
93;39
92;39
93;39
93;39
93;39
92;39
92;39
93;39
92;39
92;39
92;39
92;39
92;39
92;39
92;39
92;38
92;39
92;39
92;39
92;38
92;38
92;38
92;38
92;39
91;38
92;39
92;39
92;39
92;39
92;39
92;39
91;39
92;39
91;38
91;38
91;38
91;38
92;39
91;38
91;38
91;38
91;38
91;39
91;38
91;38
91;38
91;38
91;39
91;38
90;38
90;38
90;38
91;39
90;38
90;38
90;38
90;38
90;39
90;38
90;38
90;38
90;39
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;38
90;37
90;38
90;37
89;37
90;37
90;38
90;38
89;38
89;38
0;0
0;1
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;1
0;0
0;0
0;1
0;2
3;6
3;7
2;4
0;1
0;0
0;0
0;0
60;24
61;25
60;25
61;26
61;25
61;25
61;25
61;26
61;25
61;26
61;25
61;26
61;26
61;25
61;26
61;25
61;25
60;25
61;25
61;26
60;25
61;25
61;26
61;26
61;26
61;25
60;24
