UVA;UVB
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
57;29
62;29
54;27
53;27
53;27
54;27
54;27
55;27
56;27
56;28
57;28
58;28
60;29
61;29
62;29
63;30
64;30
66;30
67;31
67;30
68;31
70;31
71;32
72;32
73;32
74;32
75;33
76;33
77;33
77;34
79;35
79;34
80;34
81;35
82;35
82;35
84;36
83;35
84;36
85;37
86;37
86;37
86;37
87;37
87;37
88;37
89;38
88;37
89;38
89;38
90;38
90;39
91;39
91;38
91;39
91;38
91;38
92;39
92;39
92;39
93;39
93;39
93;39
94;39
94;40
94;40
94;39
94;40
94;39
94;40
94;39
95;40
95;40
95;40
94;39
95;40
95;40
94;39
94;39
95;40
96;41
95;40
95;40
95;41
96;40
96;40
95;40
96;40
96;40
95;40
96;40
96;40
96;40
96;41
96;40
95;40
96;40
96;40
96;41
96;40
96;40
94;40
96;41
96;40
94;40
95;40
95;40
94;39
95;40
95;40
95;40
95;41
95;40
95;40
94;39
95;40
94;39
94;39
95;40
94;40
95;40
94;40
95;40
94;40
94;39
0;0
4;8
5;8
0;3
0;0
67;28
67;28
67;28
68;28
67;28
68;29
68;29
67;28
68;29
68;29
67;28
68;29
68;28
67;28
67;28
67;29
67;29
68;29
68;29
67;28
68;29
67;28
67;28
67;28
67;28
68;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;29
66;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
67;28
66;28
67;28
67;28
67;28
66;28
66;28
66;28
66;28
67;28
67;28
66;28
66;28
67;28
66;28
66;28
66;28
67;28
66;27
66;28
66;28
66;28
66;28
66;28
66;28
66;27
66;28
66;28
66;28
66;28
